Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AVGO","BROADCOM INC","Information Technology","Equity","792,226,613.28","9.92","792,226,613.28","1,966,018.00","402.96","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","726,763,770.00","9.10","726,763,770.00","4,106,010.00","177.00","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","435,961,204.82","5.46","435,961,204.82","886,082.00","492.01","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","355,065,584.85","4.44","355,065,584.85","547,983.00","647.95","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","354,031,831.12","4.43","354,031,831.12","1,409,138.00","251.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLS","CELESTICA INC","Information Technology","Equity","301,049,125.41","3.77","301,049,125.41","874,101.00","344.41","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","296,395,748.88","3.71","296,395,748.88","925,716.00","320.18","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","261,168,764.67","3.27","261,168,764.67","895,917.00","291.51","Taiwan","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","249,027,784.60","3.12","249,027,784.60","542,060.00","459.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","227,087,928.20","2.84","227,087,928.20","1,124,476.00","201.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSEM","TOWER SEMICONDUCTOR LTD","Information Technology","Equity","223,687,806.36","2.80","223,687,806.36","2,069,076.00","108.11","Israel","NASDAQ","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","222,677,188.80","2.79","222,677,188.80","1,253,813.00","177.60","United States","NASDAQ","USD","1.00","USD","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","222,385,421.34","2.78","222,385,421.34","2,062,600.00","107.82","Japan","Tokyo Stock Exchange","USD","156.05","JPY","-"
"6857","ADVANTEST CORP","Information Technology","Equity","221,980,583.15","2.78","221,980,583.15","1,683,600.00","131.85","Japan","Tokyo Stock Exchange","USD","156.05","JPY","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","215,049,287.88","2.69","215,049,287.88","988,596.00","217.53","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","187,257,013.63","2.34","187,257,013.63","935,303.00","200.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","186,463,992.00","2.33","186,463,992.00","1,195,282.00","156.00","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","183,831,740.96","2.30","183,831,740.96","306,652.00","599.48","United States","NASDAQ","USD","1.00","USD","-"
"PSTG","PURE STORAGE INC CLASS A","Information Technology","Equity","177,503,578.24","2.22","177,503,578.24","1,995,319.00","88.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","168,461,884.89","2.11","168,461,884.89","391,617.00","430.17","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","140,424,546.24","1.76","140,424,546.24","1,074,568.00","130.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","139,367,510.01","1.74","139,367,510.01","150,153.00","928.17","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","137,473,729.50","1.72","137,473,729.50","816,110.00","168.45","United States","NASDAQ","USD","1.00","USD","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","134,576,816.29","1.68","134,576,816.29","1,005,720.00","133.81","Germany","Xetra","USD","0.86","EUR","-"
