"FULL PORTFOLIO HOLDINGS
(As of 11/28/2025)",TICKER,CUSIP,UNDERLYING SECURITY,STRIKE PRICE,QUANTITY (SHARES/ PAR/ UNITS/ CONTRACTS),NOTIONAL VALUE,MARKET VALUE,WEIGHT %,CURRENT MARKET VALUE
,,,,,,,,,
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM US,874039100,-,-,"7,516","$2,190,989","$2,190,989",14.58,"$2,190,989"
NVIDIA Corporation,NVDA US,67066G104,-,-,"11,246","$1,990,542","$1,990,542",13.26,"$1,990,542"
Broadcom Inc.,AVGO US,11135F101,-,-,"2,788","$1,123,452","$1,123,452",7.48,"$1,123,452"
Microsoft Corporation,MSFT US,594918104,-,-,"2,068","$1,019,359","$1,019,359",6.79,"$1,017,477"
Alphabet Inc. Class C,GOOG US,02079K107,-,-,"2,671","$855,041","$855,041",5.69,"$855,041"
"Amazon.com, Inc.",AMZN US,23135106,-,-,"3,235","$754,467","$754,467",5.02,"$754,467"
"Cadence Design Systems, Inc.",CDNS US,127387108,-,-,"1,359","$423,791","$423,791",2.82,"$423,791"
Lam Research Corporation,LRCX US,512807306,-,-,"2,661","$415,116","$415,116",2.76,"$415,116"
"MercadoLibre, Inc.",MELI US,58733R102,-,-,179,"$370,849","$370,849",2.47,"$370,849"
Progressive Corporation,PGR US,743315103,-,-,"1,583","$362,175","$362,175",2.41,"$362,175"
Intuit Inc.,INTU US,461202103,-,-,566,"$358,889","$358,889",2.39,"$358,889"
"Workday, Inc. Class A",WDAY US,98138H101,-,-,"1,622","$349,736","$349,736",2.33,"$349,736"
KLA Corporation,KLAC US,482480100,-,-,281,"$330,816","$330,816",2.2,"$330,307"
Oracle Corporation,ORCL US,68389X105,-,-,"1,591","$321,302","$321,302",2.14,"$321,302"
AppLovin Corp. Class A,APP US,03831W108,-,-,458,"$274,562","$274,562",1.83,"$274,562"
Amphenol Corporation Class A,APH US,32095101,-,-,"1,882","$265,174","$265,174",1.77,"$265,174"
"Micron Technology, Inc.",MU US,595112103,-,-,"1,053","$249,013","$249,013",1.66,"$249,013"
Deere & Company,DE US,244199105,-,-,534,"$248,038","$248,038",1.65,"$248,038"
"Snowflake, Inc.",SNOW US,833445109,-,-,954,"$239,683","$239,683",1.6,"$239,683"
"Intuitive Surgical, Inc.",ISRG US,46120E602,-,-,413,"$236,847","$236,847",1.58,"$236,847"
Vistra Corp.,VST US,92840M102,-,-,"1,277","$228,404","$228,404",1.52,"$228,404"
Nebius Group N.V. Class A,NBIS US,N97284108,-,-,"2,021","$191,732","$191,732",1.28,"$191,732"
Vertiv Holdings Co. Class A,VRT US,92537N108,-,-,"1,035","$186,085","$186,085",1.24,"$186,021"
Constellation Energy Corporation,CEG US,21037T109,-,-,510,"$186,012","$186,012",1.24,"$185,824"
Eaton Corp. Plc,ETN US,G29183103,-,-,415,"$143,544","$143,544",0.96,"$143,544"
"Shopify, Inc. Class A",SHOP US,82509L107,-,-,875,"$138,810","$138,810",0.92,"$138,810"
Alibaba Group Holding Limited Sponsored ADR,BABA US,01609W102,BK6YZP5OLD,-,836,"$131,503","$131,503",0.88,"$131,503"
Spotify Technology SA,SPOT US,L8681T102,-,-,204,"$122,169","$122,169",0.81,"$122,169"
Nova Ltd.,NVMI US,M7516K103,-,-,389,"$121,695","$121,695",0.81,"$121,695"
Eli Lilly and Company,LLY US,532457108,-,-,112,"$120,613","$120,613",0.8,"$120,453"
Howmet Aerospace Inc.,HWM US,443201108,-,-,547,"$111,911","$111,911",0.75,"$111,911"
"Samsara, Inc. Class A",IOT US,79589L106,-,-,"2,574","$97,889","$97,889",0.65,"$97,889"
SoftBank Group Corp. Unsponsored ADR,SFTBY US,83404D109,-,-,"1,779","$95,816","$95,816",0.64,"$95,728"
Atlassian Corp Class A,TEAM US,49468101,-,-,618,"$92,403","$92,403",0.62,"$92,403"
"Datadog, Inc. Class A",DDOG US,23804L103,-,-,549,"$87,845","$87,845",0.58,"$87,845"
Blackstone Inc.,BX US,09260D107,-,-,591,"$86,534","$86,534",0.58,"$86,534"
"Lumentum Holdings, Inc.",LITE US,55024U109,-,-,261,"$84,867","$84,867",0.57,"$84,867"
ASML Holding NV Sponsored ADR,ASML US,N07059210,-,-,74,"$78,440","$78,440",0.52,"$78,440"
"Coinbase Global, Inc. Class A",COIN US,19260Q107,-,-,238,"$64,931","$64,931",0.43,"$64,931"
"DoorDash, Inc. Class A",DASH US,25809K105,-,-,308,"$61,098","$61,098",0.41,"$61,098"
Credo Technology Group Holding Ltd.,CRDO US,G25457105,-,-,247,"$43,867","$43,867",0.29,"$43,867"
"ServiceTitan, Inc. Class A",TTAN US,81764X103,-,-,463,"$41,374","$41,374",0.28,"$41,374"
"Arista Networks, Inc.",ANET US,40413205,-,-,295,"$38,551","$38,551",0.26,"$38,551"
monday.com Ltd.,MNDY US,M7S64H106,-,-,244,"$35,102","$35,102",0.23,"$35,102"
"Via Transportation, Inc. Class A",VIA US,92556W104,-,-,746,"$25,983","$25,983",0.17,"$25,983"
"CoreWeave, Inc. Class A",CRWV US,21873S108,-,-,279,"$20,400","$20,400",0.14,"$20,400"
"Netskope, Inc. Class A",NTSK US,64119N608,-,-,24,$441,$441,0,$441
US DOLLARS,USD,MD_142224,-,-,"-1,156","-$1,156","-$1,156",-0.01,"-$1,156"
